"Sex" "Age" "Place" "DivPlace" "DIV" "DivAge" "Time" "BostonQualifier" "HomeStateOrCountry"
"294" "M" 36 662 145 "M35-39" "35-39" 170.38 "Y" "BRA"
"295" "M" 59 9240 353 "M55-59" "55-59" 222.28 "N" "GBR"
"296" "F" 32 394 12 "F30-34" "30-34" 165.45 "Y" "RI"
"297" "M" 26 18716 1478 "M25-29" "25-29" 248.25 "Y" "NY"
"298" "M" 40 809 108 "M40-44" "40-44" 172.72 "Y" "CA"
"299" "F" 33 17511 804 "F30-34" "30-34" 244.87 "Y" "IRL"
"300" "F" 33 14763 650 "F30-34" "30-34" 237.82 "N" "NY"
"301" "M" 34 11241 1390 "M30-34" "30-34" 228.72 "Y" "NJ"
"302" "M" 32 606 159 "M30-34" "30-34" 169.57 "Y" "NY"
"303" "M" 60 16102 271 "M60-64" "60-64" 240.72 "N" "TX"
"304" "M" 55 6006 198 "M55-59" "55-59" 209.45 "Y" "NOR"
"305" "M" 24 1507 60 "M20-24" "20-24" 179.53 "N" "NY"
"306" "M" 55 3277 65 "M55-59" "55-59" 194.78 "N" "NED"
"307" "M" 31 17571 1974 "M30-34" "30-34" 245.03 "Y" "NY"
"308" "M" 37 4567 805 "M35-39" "35-39" 203.08 "Y" "CA"
"309" "F" 28 2800 74 "F25-29" "25-29" 191.6 "Y" "GBR"
"310" "M" 40 17533 2195 "M40-44" "40-44" 244.93 "N" "SWE"
"311" "M" 42 907 132 "M40-44" "40-44" 174.02 "Y" "IRL"
"312" "M" 41 8459 1165 "M40-44" "40-44" 219.27 "Y" "ECU"
"313" "M" 36 16148 2069 "M35-39" "35-39" 240.85 "N" "NY"
"314" "M" 41 12858 1692 "M40-44" "40-44" 233.27 "Y" "FRA"
"315" "M" 24 10707 236 "M20-24" "20-24" 227.2 "Y" "NY"
"316" "M" 55 7696 279 "M55-59" "55-59" 216.55 "Y" "GER"
"317" "M" 41 1547 244 "M40-44" "40-44" 179.85 "Y" "ITA"
"318" "F" 44 8482 338 "F40-44" "40-44" 219.33 "N" "CAN"
"319" "M" 44 557 65 "M40-44" "40-44" 168.65 "Y" "CAN"
"320" "M" 35 3262 637 "M35-39" "35-39" 194.68 "N" "ESP"
"321" "M" 50 10788 905 "M50-54" "50-54" 227.47 "N" "AUT"
"322" "M" 45 2706 314 "M45-49" "45-49" 190.88 "N" "FRA"
"323" "M" 45 892 60 "M45-49" "45-49" 173.88 "Y" "NY"
"324" "F" 36 10749 401 "F35-39" "35-39" 227.35 "N" "NY"
"325" "M" 31 306 77 "M30-34" "30-34" 163.45 "N" "NC"
"326" "M" 45 12829 1504 "M45-49" "45-49" 233.18 "Y" "NED"
"327" "M" 39 794 181 "M35-39" "35-39" 172.52 "N" "ESP"
"328" "F" 46 14753 492 "F45-49" "45-49" 237.8 "N" "NY"
"329" "M" 44 5814 860 "M40-44" "40-44" 208.75 "N" "GER"
"330" "M" 25 411 105 "M25-29" "25-29" 165.82 "Y" "NY"
"331" "F" 28 9254 404 "F25-29" "25-29" 222.33 "N" "IL"
"332" "M" 27 15434 1303 "M25-29" "25-29" 239.2 "N" "GBR"
"333" "M" 41 3232 515 "M40-44" "40-44" 194.52 "N" "ITA"
"334" "F" 33 16141 729 "F30-34" "30-34" 240.82 "Y" "FL"
"335" "M" 58 5869 191 "M55-59" "55-59" 208.95 "Y" "SWE"
"336" "F" 57 14767 103 "F55-59" "55-59" 237.83 "N" "NED"
"337" "F" 28 773 8 "F25-29" "25-29" 172.08 "Y" "WI"
"338" "M" 40 860 123 "M40-44" "40-44" 173.45 "Y" "ETH"
"339" "M" 46 6953 856 "M45-49" "45-49" 213.45 "N" "GBR"
"340" "F" 50 7684 75 "F50-54" "50-54" 216.52 "N" "AZ"
"341" "M" 35 262 44 "M35-39" "35-39" 162.15 "N" "VA"
"342" "F" 33 7626 274 "F30-34" "30-34" 216.28 "N" "MA"
"343" "M" 43 15474 1970 "M40-44" "40-44" 239.28 "N" "FRA"
"344" "M" 47 931 64 "M45-49" "45-49" 174.38 "N" "POL"
"345" "M" 51 4517 361 "M50-54" "50-54" 202.72 "Y" "CAN"
"346" "M" 40 14750 1896 "M40-44" "40-44" 237.78 "N" "MEX"
"347" "M" 46 787 51 "M45-49" "45-49" 172.37 "N" "NJ"
"348" "M" 41 409 47 "M40-44" "40-44" 165.82 "N" "NY"
"349" "F" 33 9207 347 "F30-34" "30-34" 222.15 "Y" "VA"
"350" "M" 28 205 56 "M25-29" "25-29" 159.57 "N" "AUS"
"351" "M" 54 8424 709 "M50-54" "50-54" 219.12 "N" "GER"
